route,routename,Month_Beginning,Avg_Weekday_Rides,Avg_Saturday_Rides,Avg_Sunday-Holiday_Rides,MonthTotal
90N,North Harlem,03/01/2001,309.9,157.2,0,7604
91,Austin,03/01/2001,8666,4707,2729.2,225103
92,Foster,03/01/2001,7906.6,4398.3,2606.7,206363
93,California/Dodge,03/01/2001,2351.2,1194.8,0,57701
94,South California,03/01/2001,10912,5038.8,3106.5,277684
95E,93rd-95th,03/01/2001,5881.4,4963.7,3213.3,167062
95W,West 95th,03/01/2001,5292,5492.3,3095.5,156267
96,Lunt,03/01/2001,1293.1,0,0,28449
97,Skokie,03/01/2001,3701.9,2284.9,1369.2,98343
100,Jeffery Manor Express,03/01/2001,1256.2,0,0,27636
103,West 103rd,03/01/2001,3883.1,1681.2,1196,98619
106,East 103rd,03/01/2001,2358.1,798.5,462.8,57722
108,Halsted/95th,03/01/2001,3194.8,0,0,70285
111,Pullman/111th/115th,03/01/2001,6336,3802.9,2448.9,168202
112,Vincennes/111th,03/01/2001,4067.3,1496.5,922.7,100654
119,Michigan/119th,03/01/2001,5394.1,5124,2933.8,156025
120,Ogilvie/Wacker Express,03/01/2001,837.4,0,0,18423
121,Union/Wacker Express,03/01/2001,1521.5,0,0,33473
122,Illinois Center/Ogilvie Express,03/01/2001,1092.6,0,0,24038
123,Illinois Center/Union Express,03/01/2001,750.8,0,0,16518
124,Navy Pier,03/01/2001,0,860.9,569.2,2860
125,Water Tower Express,03/01/2001,2221.2,0,0,48866
126,Jackson,03/01/2001,11114.2,5090.4,3046.4,282150
127,Madison/Roosevelt Circulator,03/01/2001,181.7,0,0,3997
128,Soldier Field Express,03/01/2001,0,0,167.1,501
129,West Loop/South Loop,03/01/2001,820.5,0,0,18050
135,Clarendon/LaSalle Express,03/01/2001,2850,0,0,62701
136,Sheridan/LaSalle Express,03/01/2001,1954.1,0,0,42990
145,Wilson/Michigan Express,03/01/2001,8718.2,4168.7,2072.9,220934
146,Inner Drive/Michigan Express,03/01/2001,9819.9,6422.2,3860.6,263590
147,Outer Drive Express,03/01/2001,9739.4,6144.3,0,244988
151,Sheridan,03/01/2001,25366.7,16148.9,13393.1,692384
152,Addison,03/01/2001,11575.7,4946.1,2518.9,289472
155,Devon,03/01/2001,7675.1,5320,3791.9,210621
156,LaSalle,03/01/2001,9421.5,0,0,207273
